TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9979  1.59895E+00  1.59951E+00  7.73286E-01  2.39837E+00  6.37523E-02  1.72205E-01  5.76354E-03  1.39827E-01 -1.79198E-02 -5.03199E-02  2.33045E-01 -3.71895E-02 -1.14551E-03  6.28983E-02  1.40378E-01   -2320.76142288117
        -9978  1.61759E+00  1.48322E+00  7.40907E-01  2.36649E+00  6.00685E-02  1.96037E-01 -2.25731E-02  1.40290E-01  1.08526E-02 -3.19536E-02  2.20926E-01 -4.28585E-02  4.07622E-03  5.08309E-02  1.62616E-01   -2323.95327883100
        -9977  1.59856E+00  1.64847E+00  8.53470E-01  2.39841E+00  7.48078E-02  1.88236E-01 -2.89320E-02  1.30937E-01 -3.53617E-02 -1.97818E-02  2.34257E-01 -4.35367E-02 -2.18508E-02  5.50047E-02  1.67097E-01   -2271.35723815877
        -9976  1.59469E+00  1.63476E+00  8.63062E-01  2.41971E+00  6.47781E-02  1.76727E-01 -8.83783E-03  1.31493E-01 -1.81800E-02 -1.09343E-03  1.46761E-01 -4.36621E-02 -2.05426E-02  1.66742E-02  1.66757E-01   -2378.59538322153
        -9975  1.65364E+00  1.68665E+00  8.58359E-01  2.38496E+00  5.45120E-02  1.58312E-01 -2.42851E-02  1.06824E-01 -2.92652E-02 -4.40375E-03  1.81631E-01 -1.95448E-02 -4.01564E-03 -4.06423E-03  1.19328E-01   -2415.39502769825
        -9974  1.64353E+00  1.64041E+00  8.23050E-01  2.34223E+00  5.21303E-02  2.17021E-01 -2.86701E-03  9.03028E-02  1.05090E-02 -1.87293E-03  2.17722E-01 -1.49612E-03  1.95269E-02  4.58245E-02  1.43354E-01   -2375.20428690674
        -9973  1.61432E+00  1.57553E+00  6.98616E-01  2.33907E+00  5.67174E-02  2.03126E-01  7.88781E-04  8.32179E-02  1.16492E-02 -8.26056E-03  1.63520E-01  1.67898E-02  2.50964E-02  9.04675E-03  1.47297E-01   -2344.34020653090
        -9972  1.61067E+00  1.52596E+00  7.34334E-01  2.26298E+00  6.26978E-02  1.60352E-01  7.59401E-03  9.94880E-02 -3.68224E-03 -2.04242E-02  1.63931E-01 -1.34475E-02  1.41797E-02  1.84763E-04  1.14633E-01   -2341.74456018741
        -9971  1.61163E+00  1.50343E+00  7.18814E-01  2.29754E+00  6.82409E-02  1.84639E-01  3.42401E-02  1.27807E-01  2.90198E-03 -2.58015E-02  1.35611E-01 -2.75830E-02 -7.78492E-03  2.24876E-02  1.20195E-01   -2310.12296698078
        -9970  1.66101E+00  1.61120E+00  7.15532E-01  2.42051E+00  7.16963E-02  1.55400E-01  3.65949E-03  1.53607E-01 -6.22430E-03 -6.33189E-02  1.43999E-01 -1.15154E-02 -3.61341E-02  1.72262E-02  1.17874E-01   -2247.77223905436
        -9969  1.74759E+00  1.67681E+00  7.23940E-01  2.38261E+00  7.96629E-02  2.70006E-01 -4.49276E-03  1.33667E-01  1.89261E-02 -5.33318E-02  1.33776E-01 -2.35586E-02  2.24709E-03 -1.22646E-02  1.11100E-01   -2261.16094222113
        -9968  1.73525E+00  1.59591E+00  7.31320E-01  2.31504E+00  7.08491E-02  1.83006E-01  8.90655E-03  1.35634E-01  5.39176E-04 -2.89675E-02  1.08319E-01 -1.79617E-02 -3.42149E-02  1.39545E-02  1.13319E-01   -2249.10686706332
        -9967  1.67609E+00  1.65203E+00  7.16325E-01  2.33548E+00  7.04857E-02  1.87950E-01 -1.25828E-02  1.57785E-01  1.73428E-02 -3.03472E-02  1.12955E-01 -3.78069E-02 -2.29298E-02  1.22507E-02  1.25002E-01   -2277.24771369246
        -9966  1.72565E+00  1.70662E+00  6.94659E-01  2.27536E+00  7.44008E-02  1.86529E-01 -2.39007E-02  2.06699E-01  2.05043E-02 -3.11272E-02  1.60019E-01 -2.70269E-02 -3.22878E-02 -7.08203E-03  1.50397E-01   -2266.06176107585
        -9965  1.65141E+00  1.71492E+00  6.90540E-01  2.31210E+00  6.96254E-02  1.78811E-01 -2.47298E-02  1.59679E-01  1.74359E-02 -1.49564E-02  1.48781E-01 -5.09365E-02  1.38920E-02  1.54732E-02  1.41140E-01   -2293.91631399864
        -9964  1.55624E+00  1.70418E+00  6.62963E-01  2.33529E+00  6.88487E-02  1.92422E-01 -8.87382E-03  1.42985E-01  2.01286E-02 -3.96345E-02  1.83791E-01 -3.79848E-02  1.06048E-02  1.65644E-02  1.74709E-01   -2220.51515006339
        -9963  1.66567E+00  1.67237E+00  7.35235E-01  2.25695E+00  7.24442E-02  1.75265E-01 -5.93605E-03  1.67811E-01  3.65893E-02 -5.53660E-02  2.27596E-01 -3.05040E-02 -2.04512E-02  6.67683E-02  1.70396E-01   -2207.68177094671
        -9962  1.63563E+00  1.69056E+00  7.11673E-01  2.36722E+00  7.09572E-02  1.49808E-01  2.22222E-02  1.52493E-01 -3.64790E-03 -1.84653E-02  1.97971E-01 -9.63102E-03 -5.47840E-03  5.73769E-02  1.37031E-01   -2215.91394560155
