TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9986  3.33345E+00  3.23668E+00 -6.20296E-01 -2.06011E-01  7.26670E-01  1.08942E+00  3.39920E-01  2.05427E-01  6.77651E-01  2.29147E+00  1.00825E-01  1.00000E+00  1.01911E-02 -5.56223E-04  6.92502E-03  2.72937E-04 -1.28674E-03  4.62754E-03 -9.23467E-04 -1.63225E-03 -2.44082E-03  7.37744E-03   -19669.8314743617
        -9985  3.25272E+00  3.20939E+00 -5.99507E-01 -2.00705E-01  7.12745E-01  1.10533E+00  3.43819E-01  1.98871E-01  6.78009E-01  2.28895E+00  1.00138E-01  1.00000E+00  1.13802E-02 -9.05859E-05  6.91926E-03  3.90369E-04 -1.49120E-03  4.17360E-03 -1.51073E-03 -1.77935E-03 -1.72500E-03  7.39978E-03   -19556.9324709000
        -9984  3.31616E+00  3.28666E+00 -6.17932E-01 -2.20035E-01  7.15297E-01  1.14201E+00  3.42162E-01  1.89873E-01  6.72822E-01  2.28789E+00  1.04465E-01  1.00000E+00  9.35488E-03  5.28572E-04  6.43651E-03 -1.28840E-04 -1.27727E-03  4.18476E-03 -2.04214E-03 -1.24424E-03 -1.74366E-03  8.51459E-03   -19613.5175673676
        -9983  3.30170E+00  3.22610E+00 -6.15427E-01 -2.03309E-01  7.23034E-01  1.10152E+00  3.36743E-01  1.98136E-01  6.73993E-01  2.28942E+00  1.04465E-01  1.00000E+00  1.01081E-02 -1.93385E-04  6.22374E-03 -2.98761E-04 -1.45789E-03  3.59610E-03 -2.22881E-03  2.18116E-04 -1.38217E-03  7.52992E-03   -19592.3036324274
        -9982  3.31480E+00  3.18301E+00 -6.17924E-01 -1.91138E-01  6.97746E-01  1.13260E+00  3.44915E-01  1.87317E-01  6.77911E-01  2.28311E+00  1.04127E-01  1.00000E+00  9.44638E-03  9.80101E-05  6.23055E-03 -2.09197E-04 -1.17855E-03  4.01132E-03 -1.33157E-03  9.81814E-05 -1.48864E-03  7.19314E-03   -19545.1019956557
        -9981  3.26221E+00  3.23307E+00 -6.03581E-01 -2.07477E-01  7.22898E-01  1.10745E+00  3.37492E-01  1.96792E-01  6.77076E-01  2.29057E+00  1.03378E-01  1.00000E+00  9.52602E-03 -3.75062E-04  6.55187E-03 -2.36531E-04 -1.44594E-03  4.40322E-03 -1.08830E-03  9.67193E-04 -1.67876E-03  6.91262E-03   -19569.7437378138
        -9980  3.26680E+00  3.19229E+00 -6.03508E-01 -1.94439E-01  7.49812E-01  1.08484E+00  3.28807E-01  2.01533E-01  6.77060E-01  2.28916E+00  1.03339E-01  1.00000E+00  1.09545E-02 -4.91595E-04  6.23830E-03 -1.56271E-04 -1.04555E-03  4.16796E-03 -1.64527E-03  3.50074E-04 -1.74437E-03  7.81770E-03   -19586.9931969430
        -9979  3.30431E+00  3.27543E+00 -6.15695E-01 -2.16073E-01  7.32650E-01  1.12091E+00  3.36460E-01  1.90100E-01  6.76732E-01  2.28944E+00  1.03339E-01  1.00000E+00  1.01407E-02 -1.06918E-03  6.20574E-03 -9.29528E-04 -1.05814E-03  4.28721E-03 -2.06682E-03  1.35121E-03 -1.71764E-03  8.36007E-03   -19588.7258971271
        -9978  3.31764E+00  3.22207E+00 -6.18461E-01 -2.01614E-01  7.55610E-01  1.13623E+00  3.31148E-01  1.89125E-01  6.72018E-01  2.29072E+00  1.04612E-01  1.00000E+00  8.78750E-03 -1.02264E-03  5.93413E-03 -8.59105E-04 -7.21714E-04  3.99471E-03 -1.60233E-03  1.01629E-03 -1.69569E-03  8.44212E-03   -19518.9112268252
        -9977  3.33698E+00  3.23448E+00 -6.22001E-01 -2.06171E-01  7.46128E-01  1.18507E+00  3.34601E-01  1.76626E-01  6.75274E-01  2.28670E+00  1.04445E-01  1.00000E+00  1.08167E-02 -8.01245E-04  5.54674E-03 -5.55375E-04 -8.97255E-04  4.41108E-03 -1.99744E-03  9.40166E-04 -2.13774E-03  7.52418E-03   -19579.9594689780
