TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9488  3.28592E+00  3.27275E+00 -6.07800E-01 -2.12100E-01  7.36272E-01  1.12579E+00  3.33608E-01  1.96883E-01  6.93125E-01  2.30966E+00  1.08769E-01  1.00000E+00  1.05015E-02 -9.00617E-04  4.39774E-03  2.85232E-04  3.53120E-04  6.15750E-03 -2.17122E-03 -3.77402E-05 -1.12975E-03  7.32591E-03   -19448.9841971652
        -9487  3.26430E+00  3.26543E+00 -6.02965E-01 -2.11606E-01  7.19928E-01  1.15073E+00  3.39321E-01  1.91040E-01  7.00573E-01  2.30510E+00  1.08769E-01  1.00000E+00  1.04808E-02 -3.97462E-04  5.57108E-03  1.31637E-04  5.53252E-04  6.46305E-03 -2.26057E-03  4.75897E-04 -6.75651E-04  7.93803E-03   -19329.7146479823
        -9486  3.30831E+00  3.22912E+00 -6.13156E-01 -2.02428E-01  7.13734E-01  1.13012E+00  3.41649E-01  1.98141E-01  6.91967E-01  2.30967E+00  1.08317E-01  1.00000E+00  9.86898E-03 -8.05792E-04  5.02258E-03  3.63495E-04  7.05257E-05  6.00986E-03 -2.67159E-03  2.61179E-04 -8.16283E-04  8.34436E-03   -19344.9789722875
        -9485  3.26208E+00  3.26462E+00 -6.01030E-01 -2.12694E-01  7.02104E-01  1.11031E+00  3.46603E-01  2.03798E-01  7.00232E-01  2.30713E+00  1.08317E-01  1.00000E+00  1.03976E-02 -1.31101E-03  5.32268E-03 -3.85934E-05  4.59781E-04  5.78103E-03 -2.25090E-03 -2.35327E-04 -4.15041E-05  8.04534E-03   -19348.3626693177
        -9484  3.29883E+00  3.30030E+00 -6.13465E-01 -2.21073E-01  7.16721E-01  1.11550E+00  3.42683E-01  1.99751E-01  7.02072E-01  2.31634E+00  1.08444E-01  1.00000E+00  9.47061E-03  1.90315E-04  5.19972E-03  7.32262E-04  1.39604E-04  7.44087E-03 -2.43557E-03 -3.92985E-04 -3.18338E-04  8.50123E-03   -19256.2704187405
        -9483  3.30875E+00  3.21590E+00 -6.12926E-01 -1.99001E-01  7.31856E-01  1.11826E+00  3.36037E-01  2.01042E-01  7.00911E-01  2.31077E+00  1.08444E-01  1.00000E+00  9.31577E-03  2.20126E-04  5.03039E-03 -1.05387E-04 -2.93160E-04  7.56186E-03 -1.82159E-03 -9.08082E-04 -4.97471E-04  8.60200E-03   -19237.9302115897
        -9482  3.29956E+00  3.21033E+00 -6.10255E-01 -1.95681E-01  7.23162E-01  1.11218E+00  3.37831E-01  2.03141E-01  7.12270E-01  2.31209E+00  1.08347E-01  1.00000E+00  8.84167E-03  5.99079E-05  5.10748E-03 -2.55237E-04 -5.25397E-04  7.55452E-03 -1.83858E-03 -9.15902E-05 -3.41219E-04  8.48344E-03   -19319.4285523995
        -9481  3.30137E+00  3.24105E+00 -6.15328E-01 -2.03501E-01  7.51642E-01  1.13228E+00  3.29087E-01  1.95921E-01  7.07749E-01  2.32057E+00  1.01988E-01  1.00000E+00  9.88284E-03  1.51861E-04  6.80924E-03 -9.72903E-04 -8.16889E-04  6.84892E-03 -1.96174E-03 -1.82844E-04 -4.25991E-04  7.99913E-03   -19357.8690253692
        -9480  3.28892E+00  3.28733E+00 -6.06848E-01 -2.14053E-01  7.61239E-01  1.15332E+00  3.27793E-01  1.88389E-01  7.05214E-01  2.31456E+00  1.01132E-01  1.00000E+00  1.09216E-02 -1.18983E-04  7.36488E-03 -7.57805E-04 -1.13809E-03  6.97583E-03 -2.61019E-03  2.80180E-04 -7.38545E-06  7.64128E-03   -19166.5872431976
        -9479  3.33097E+00  3.25014E+00 -6.16479E-01 -2.07082E-01  7.06223E-01  1.16883E+00  3.42296E-01  1.84998E-01  7.05074E-01  2.30945E+00  1.01132E-01  1.00000E+00  1.07586E-02 -3.02461E-04  7.83313E-03 -7.64574E-04 -1.29169E-03  7.32423E-03 -2.08898E-03 -1.48476E-04  7.93901E-05  7.66212E-03   -19339.0839572290
        -9478  3.29444E+00  3.26164E+00 -6.08584E-01 -2.07750E-01  7.43925E-01  1.10075E+00  3.33182E-01  2.06216E-01  7.03591E-01  2.31549E+00  9.91000E-02  1.00000E+00  1.07377E-02 -9.52393E-04  6.87599E-03 -8.55087E-04 -1.13541E-03  8.12745E-03 -2.38188E-03 -3.36485E-04 -1.44976E-04  8.32734E-03   -19388.7467766699
        -9477  3.34600E+00  3.21592E+00 -6.27887E-01 -1.90776E-01  6.94981E-01  1.10811E+00  3.45526E-01  2.00988E-01  7.12314E-01  2.31187E+00  9.91000E-02  1.00000E+00  9.50169E-03 -2.79412E-04  6.09567E-03 -3.17567E-04 -1.32820E-03  7.21030E-03 -2.93769E-03 -3.62166E-04 -2.32698E-04  9.00218E-03   -19422.7082810812
        -9476  3.31725E+00  3.25778E+00 -6.21598E-01 -2.10116E-01  6.66359E-01  1.14469E+00  3.54053E-01  1.89829E-01  7.05131E-01  2.31480E+00  9.91798E-02  1.00000E+00  1.01451E-02 -1.16542E-04  6.78809E-03 -4.72536E-05 -1.04911E-03  7.61232E-03 -2.45289E-03 -8.57769E-04 -4.16180E-04  8.91250E-03   -19413.2566175336
        -9475  3.26523E+00  3.24949E+00 -5.99709E-01 -2.11708E-01  6.77499E-01  1.10993E+00  3.49017E-01  1.99913E-01  7.10565E-01  2.31292E+00  9.93753E-02  1.00000E+00  8.15643E-03  1.48514E-04  7.19112E-03  9.47013E-05 -1.08015E-03  7.90604E-03 -2.19993E-03 -7.46617E-04 -6.14875E-04  9.06851E-03   -19321.1893269427
        -9474  3.27992E+00  3.26710E+00 -6.06081E-01 -2.10166E-01  7.11879E-01  1.16693E+00  3.39093E-01  1.84778E-01  6.99016E-01  2.31110E+00  9.95012E-02  1.00000E+00  1.02310E-02 -2.08949E-03  1.01746E-02 -7.46111E-04 -2.05288E-03  7.62435E-03 -2.02296E-03 -6.59856E-04  3.18086E-04  7.95400E-03   -19283.1731622024
        -9473  3.28651E+00  3.24073E+00 -6.10015E-01 -2.06587E-01  7.45604E-01  1.13314E+00  3.27229E-01  1.95714E-01  7.08759E-01  2.30550E+00  1.00696E-01  1.00000E+00  1.00258E-02 -2.74263E-04  1.06724E-02 -8.15578E-04 -1.87529E-03  8.97595E-03 -2.53543E-03 -6.94926E-04  9.66248E-04  8.21848E-03   -19231.6879822207
        -9472  3.30602E+00  3.21968E+00 -6.10991E-01 -1.96097E-01  6.93400E-01  1.14368E+00  3.41888E-01  1.92172E-01  6.92452E-01  2.30515E+00  1.00664E-01  1.00000E+00  8.76309E-03  1.81710E-04  1.04702E-02 -7.96271E-04 -1.02655E-03  7.81618E-03 -2.11059E-03 -2.02188E-04  3.05794E-04  6.84231E-03   -19253.5969607795
        -9471  3.29801E+00  3.17290E+00 -6.11572E-01 -1.86795E-01  6.73126E-01  1.14240E+00  3.48909E-01  1.95389E-01  6.91081E-01  2.31189E+00  1.02104E-01  1.00000E+00  9.71139E-03 -7.68668E-05  1.05546E-02 -9.30993E-04 -1.54228E-03  6.73019E-03 -2.70051E-03 -5.36230E-04  2.54145E-04  7.20174E-03   -19278.2738065126
        -9470  3.25118E+00  3.21933E+00 -5.98851E-01 -1.98855E-01  6.82937E-01  1.14356E+00  3.49400E-01  1.95248E-01  6.89611E-01  2.30194E+00  1.04265E-01  1.00000E+00  8.46841E-03 -1.75245E-05  9.34421E-03 -4.88146E-04 -7.95654E-04  7.17250E-03 -3.14476E-03 -4.32837E-04 -5.48770E-04  7.45219E-03   -19266.3249151234
        -9469  3.29808E+00  3.21498E+00 -6.13561E-01 -1.95400E-01  7.29234E-01  1.16434E+00  3.35961E-01  1.90695E-01  6.92257E-01  2.30640E+00  1.04265E-01  1.00000E+00  7.81316E-03 -4.19318E-06  8.17993E-03 -1.09660E-03 -5.09562E-06  7.62588E-03 -2.36421E-03 -4.15792E-05 -5.01177E-04  7.27164E-03   -19264.1793129649
        -9468  3.30088E+00  3.26210E+00 -6.09359E-01 -2.11083E-01  7.04438E-01  1.17403E+00  3.42982E-01  1.87185E-01  6.99190E-01  2.30000E+00  1.02451E-01  1.00000E+00  8.41084E-03 -4.52220E-04  8.72897E-03 -1.95991E-04 -4.76867E-04  8.54729E-03 -2.74141E-03 -1.14133E-04 -5.61377E-04  7.25390E-03   -19234.8923641550
        -9467  3.27308E+00  3.30395E+00 -6.00986E-01 -2.22884E-01  7.69842E-01  1.14951E+00  3.28277E-01  1.91778E-01  6.95675E-01  2.29518E+00  1.00405E-01  1.00000E+00  9.56349E-03 -4.14854E-04  9.09928E-03 -4.67964E-04  1.14322E-04  8.85216E-03 -2.51754E-03 -1.27119E-04  1.39144E-03  7.99712E-03   -19288.6009512553
        -9466  3.27817E+00  3.23140E+00 -6.01460E-01 -2.02117E-01  7.25781E-01  1.11552E+00  3.40090E-01  1.97917E-01  6.98438E-01  2.30670E+00  9.98896E-02  1.00000E+00  9.72380E-03 -5.13113E-04  9.18067E-03 -2.11412E-04 -3.17645E-04  8.71859E-03 -2.56580E-03 -9.26033E-05  1.81023E-04  7.46992E-03   -19270.3319427849
        -9465  3.23872E+00  3.28354E+00 -5.88746E-01 -2.17136E-01  7.23894E-01  1.12781E+00  3.43517E-01  1.95083E-01  6.96265E-01  2.30259E+00  1.01250E-01  1.00000E+00  9.21538E-03 -8.43769E-04  8.92022E-03 -9.17618E-05  5.01494E-04  9.83209E-03 -2.95365E-03  1.97071E-04 -1.39534E-04  8.17889E-03   -19208.5194288721
        -9464  3.27530E+00  3.25551E+00 -6.01946E-01 -2.06358E-01  7.19712E-01  1.12696E+00  3.41166E-01  1.90891E-01  6.93004E-01  2.30421E+00  1.01895E-01  1.00000E+00  9.40053E-03  1.22222E-04  9.20463E-03 -7.22557E-04 -1.20899E-04  9.79388E-03 -3.19320E-03 -3.98468E-05  4.05869E-04  8.16913E-03   -19238.2221838283
        -9463  3.27214E+00  3.23475E+00 -6.03880E-01 -2.03694E-01  7.28773E-01  1.12050E+00  3.34585E-01  1.91830E-01  6.87772E-01  2.30524E+00  1.01895E-01  1.00000E+00  9.66263E-03  1.12134E-04  9.01607E-03 -8.82756E-04  5.26927E-04  8.63078E-03 -3.26372E-03 -1.21912E-04  4.98684E-05  7.87857E-03   -19225.4865614579
        -9462  3.35280E+00  3.20314E+00 -6.25261E-01 -1.95503E-01  7.76526E-01  1.15943E+00  3.26190E-01  1.78996E-01  6.95327E-01  2.30281E+00  1.03629E-01  1.00000E+00  9.45593E-03  2.93172E-04  8.12270E-03 -1.58067E-03  4.25879E-04  8.82292E-03 -2.60382E-03 -6.61611E-06  7.42968E-04  7.61120E-03   -19233.5030311326
        -9461  3.33587E+00  3.23533E+00 -6.21460E-01 -2.03482E-01  7.37317E-01  1.16871E+00  3.38151E-01  1.82147E-01  6.92591E-01  2.29715E+00  1.05753E-01  1.00000E+00  9.98128E-03  1.02978E-03  8.25423E-03 -1.82337E-03  3.14862E-04  9.01788E-03 -2.28837E-03  4.49041E-05  4.63991E-04  7.74277E-03   -19146.0966007257
        -9460  3.27739E+00  3.20426E+00 -6.05062E-01 -1.96065E-01  7.00159E-01  1.13222E+00  3.43199E-01  1.92335E-01  6.85774E-01  2.29274E+00  1.04235E-01  1.00000E+00  9.34659E-03  1.04301E-03  9.05132E-03 -1.72718E-03 -2.29500E-04  9.32007E-03 -2.23465E-03 -1.57430E-04  3.67766E-04  6.96158E-03   -19218.8546448290
        -9459  3.28381E+00  3.23386E+00 -6.05755E-01 -1.99796E-01  6.88565E-01  1.14647E+00  3.46087E-01  1.89954E-01  6.76740E-01  2.29265E+00  1.00543E-01  1.00000E+00  9.75082E-03  5.28443E-04  8.62877E-03 -3.07235E-03 -1.01676E-03  8.61759E-03 -2.77490E-03 -5.53941E-04  3.80965E-04  7.61737E-03   -19302.7720310937
        -9458  3.35470E+00  3.22876E+00 -6.28660E-01 -1.99590E-01  6.84389E-01  1.11703E+00  3.45395E-01  1.99834E-01  6.87387E-01  2.28682E+00  1.03655E-01  1.00000E+00  1.05667E-02  9.88510E-04  7.93603E-03 -3.00115E-03 -1.00536E-04  8.27894E-03 -2.51238E-03  5.59807E-04 -4.52249E-04  6.86892E-03   -19308.0596648921
        -9457  3.28228E+00  3.28476E+00 -6.08382E-01 -2.15969E-01  7.04890E-01  1.15612E+00  3.44026E-01  1.87809E-01  6.89489E-01  2.28682E+00  1.02012E-01  1.00000E+00  9.73635E-03 -7.10729E-06  7.82932E-03 -1.66539E-03 -3.07672E-04  8.37040E-03 -3.42185E-03  1.07369E-03 -5.71886E-04  7.78476E-03   -19368.1043723628
        -9456  3.30127E+00  3.25392E+00 -6.16087E-01 -2.11401E-01  7.15295E-01  1.16835E+00  3.41902E-01  1.80423E-01  6.95250E-01  2.29159E+00  1.04670E-01  1.00000E+00  8.92450E-03 -3.92643E-04  7.39133E-03 -1.47755E-03  3.48062E-04  7.59837E-03 -2.97867E-03  3.01781E-04 -4.75598E-04  7.35799E-03   -19266.3593507423
        -9455  3.28826E+00  3.23889E+00 -6.11368E-01 -2.03916E-01  7.36006E-01  1.12090E+00  3.31167E-01  1.97039E-01  6.88719E-01  2.28758E+00  1.07004E-01  1.00000E+00  9.32513E-03  8.50367E-05  7.34977E-03 -6.98766E-04 -1.04015E-03  8.00476E-03 -3.27447E-03  7.10693E-06 -4.74044E-04  7.56364E-03   -19276.8218304438
        -9454  3.32618E+00  3.22214E+00 -6.25189E-01 -1.99174E-01  7.19991E-01  1.15521E+00  3.36119E-01  1.90875E-01  6.92452E-01  2.29141E+00  1.05349E-01  1.00000E+00  8.51631E-03 -7.40866E-04  8.21043E-03 -1.46321E-03 -3.88492E-04  7.50301E-03 -2.96545E-03 -1.85762E-04  5.23666E-05  6.72869E-03   -19294.7889797997
        -9453  3.31313E+00  3.27017E+00 -6.18644E-01 -2.10839E-01  7.25242E-01  1.15447E+00  3.35469E-01  1.90902E-01  6.83261E-01  2.28700E+00  1.07156E-01  1.00000E+00  8.40743E-03 -2.31032E-04  7.26047E-03 -1.22905E-03  7.99570E-04  8.38030E-03 -2.90398E-03 -2.61285E-04 -6.31167E-04  5.93402E-03   -19443.1301437981
        -9452  3.29985E+00  3.30093E+00 -6.14434E-01 -2.23752E-01  7.54647E-01  1.12549E+00  3.24864E-01  1.94075E-01  6.81917E-01  2.29314E+00  1.04389E-01  1.00000E+00  9.10135E-03 -1.25974E-03  7.83023E-03 -1.01474E-03  8.59805E-04  8.31028E-03 -2.83226E-03 -1.65685E-04 -6.58896E-04  5.15467E-03   -19491.6523627623
        -9451  3.30210E+00  3.27495E+00 -6.17161E-01 -2.13285E-01  7.91301E-01  1.14689E+00  3.14784E-01  1.87574E-01  6.77871E-01  2.29455E+00  1.02828E-01  1.00000E+00  8.87135E-03 -1.47663E-03  7.43100E-03 -1.27298E-03 -5.73343E-04  7.96420E-03 -3.24916E-03  6.69117E-04 -4.01549E-04  5.20928E-03   -19414.1664798492
        -9450  3.29461E+00  3.27292E+00 -6.11239E-01 -2.16656E-01  8.10854E-01  1.13567E+00  3.05975E-01  1.92644E-01  6.84598E-01  2.29005E+00  1.00461E-01  1.00000E+00  9.84532E-03 -6.60957E-04  6.55031E-03 -1.11422E-03 -6.61935E-04  7.76872E-03 -3.65876E-03  3.37257E-04 -7.62439E-04  5.96544E-03   -19461.3237848279
        -9449  3.27137E+00  3.27202E+00 -6.05008E-01 -2.14363E-01  7.77239E-01  1.12496E+00  3.20150E-01  1.96457E-01  6.74809E-01  2.29060E+00  1.06211E-01  1.00000E+00  9.32356E-03 -1.12294E-04  6.53319E-03 -9.74885E-04 -7.74614E-04  7.68028E-03 -3.15079E-03  4.96761E-05 -1.47226E-03  6.47612E-03   -19343.7557955313
        -9448  3.28164E+00  3.25992E+00 -6.09438E-01 -2.06595E-01  7.77277E-01  1.14761E+00  3.18827E-01  1.92201E-01  6.67340E-01  2.29556E+00  1.06524E-01  1.00000E+00  8.48252E-03 -4.74308E-04  6.87680E-03 -1.13018E-03 -1.57251E-03  7.81965E-03 -3.05303E-03  2.28665E-04 -8.09538E-04  6.73223E-03   -19253.0793157073
        -9447  3.22455E+00  3.23537E+00 -5.91753E-01 -1.99754E-01  7.50312E-01  1.13573E+00  3.26177E-01  1.96210E-01  6.76201E-01  2.29289E+00  1.06069E-01  1.00000E+00  9.49453E-03 -2.98860E-04  6.88767E-03  1.73501E-04 -1.14112E-03  7.86245E-03 -3.47507E-03  6.35815E-04 -1.31233E-03  7.25315E-03   -19323.1156912443
        -9446  3.21948E+00  3.23303E+00 -5.88536E-01 -2.03130E-01  7.10001E-01  1.15079E+00  3.37654E-01  1.93792E-01  6.70624E-01  2.29604E+00  1.05890E-01  1.00000E+00  9.47295E-03 -1.49533E-03  7.90861E-03 -2.59255E-05 -1.02779E-03  8.11732E-03 -2.77494E-03  9.15330E-04 -1.77467E-03  8.97626E-03   -19227.7393952911
        -9445  3.22608E+00  3.23822E+00 -5.90508E-01 -2.04164E-01  7.37265E-01  1.14171E+00  3.34857E-01  1.94124E-01  6.83789E-01  2.29600E+00  1.05890E-01  1.00000E+00  1.10359E-02 -7.72474E-04  6.94671E-03 -1.24626E-03 -4.80805E-04  8.18213E-03 -2.50061E-03 -6.78506E-05 -1.23044E-03  7.68912E-03   -19224.8583641464
        -9444  3.35826E+00  3.25904E+00 -6.28470E-01 -2.10556E-01  7.34601E-01  1.13092E+00  3.38186E-01  1.95652E-01  6.77703E-01  2.29116E+00  1.05744E-01  1.00000E+00  9.90576E-03 -4.90844E-04  6.63000E-03 -1.04130E-03 -1.33820E-03  9.12957E-03 -2.06889E-03  6.16911E-04 -2.14911E-04  7.70683E-03   -19284.1607241084
        -9443  3.25142E+00  3.21548E+00 -5.99075E-01 -1.95764E-01  7.12145E-01  1.14778E+00  3.44222E-01  1.90754E-01  6.72995E-01  2.28835E+00  1.04611E-01  1.00000E+00  9.66182E-03 -3.71324E-04  6.27125E-03 -4.30570E-04 -1.51460E-03  8.34052E-03 -2.39668E-03 -2.93038E-04 -5.02505E-04  7.09999E-03   -19306.1104978381
        -9442  3.28427E+00  3.27453E+00 -6.09983E-01 -2.16080E-01  6.87608E-01  1.11993E+00  3.48223E-01  1.98286E-01  6.70426E-01  2.28071E+00  1.04640E-01  1.00000E+00  9.56241E-03 -1.43375E-04  7.47754E-03 -6.97207E-04 -2.00313E-03  7.88010E-03 -1.98173E-03 -7.62218E-04 -1.48228E-04  7.10756E-03   -19268.3477880470
        -9441  3.34103E+00  3.25438E+00 -6.27781E-01 -2.10698E-01  7.06403E-01  1.12676E+00  3.42293E-01  1.94831E-01  6.69358E-01  2.28577E+00  1.03874E-01  1.00000E+00  9.89022E-03 -1.10862E-03  7.09205E-03 -3.30058E-04 -9.03708E-04  8.00544E-03 -1.77702E-03 -1.06235E-03 -3.16499E-04  6.10884E-03   -19389.6913922957
        -9440  3.34603E+00  3.24876E+00 -6.27561E-01 -2.07659E-01  7.08989E-01  1.13921E+00  3.38486E-01  1.92301E-01  6.70243E-01  2.28092E+00  1.03733E-01  1.00000E+00  1.03750E-02  3.73316E-04  7.92309E-03  9.72141E-04 -1.02807E-03  8.25475E-03 -3.29983E-03 -1.43263E-03 -1.04475E-03  7.21993E-03   -19226.1672214416
        -9439  3.26210E+00  3.26078E+00 -6.00568E-01 -2.11076E-01  6.93117E-01  1.12157E+00  3.35721E-01  1.98389E-01  6.77411E-01  2.29191E+00  1.04033E-01  1.00000E+00  1.05542E-02 -5.51000E-04  8.02422E-03  9.24083E-04 -2.19633E-03  8.51320E-03 -2.26461E-03 -1.30355E-03 -2.52600E-04  6.75142E-03   -19218.9329400209
        -9438  3.33844E+00  3.24757E+00 -6.22426E-01 -2.03574E-01  6.60430E-01  1.15689E+00  3.50715E-01  1.87454E-01  6.77791E-01  2.29125E+00  1.08177E-01  1.00000E+00  8.73719E-03 -7.17662E-04  8.62993E-03  1.13836E-03 -1.14810E-03  7.84592E-03 -1.57372E-03 -1.23170E-03 -5.98864E-04  6.61566E-03   -19185.3499207895
        -9437  3.29342E+00  3.25866E+00 -6.10929E-01 -2.09572E-01  7.25668E-01  1.20031E+00  3.34961E-01  1.77355E-01  6.80389E-01  2.29019E+00  1.08177E-01  1.00000E+00  1.05996E-02  1.77522E-05  7.39215E-03  8.62491E-04 -1.02194E-03  8.49364E-03 -2.22232E-03 -5.25599E-04 -4.65826E-04  6.30669E-03   -19224.9215654461
        -9436  3.33281E+00  3.26027E+00 -6.19806E-01 -2.10744E-01  7.37132E-01  1.17491E+00  3.32804E-01  1.80709E-01  6.78332E-01  2.29568E+00  1.08160E-01  1.00000E+00  9.63299E-03 -2.59326E-04  7.33235E-03  8.98003E-04 -7.64245E-04  8.09656E-03 -2.10229E-03 -2.28287E-04 -1.31599E-03  6.68095E-03   -19194.3323161109
        -9435  3.31309E+00  3.29301E+00 -6.17756E-01 -2.20467E-01  7.26012E-01  1.12160E+00  3.34397E-01  1.92225E-01  6.81813E-01  2.29730E+00  1.05145E-01  1.00000E+00  1.12239E-02 -1.52171E-04  7.19173E-03  9.49829E-04 -4.33989E-04  8.64269E-03 -2.49877E-03 -4.31330E-04 -1.66588E-03  6.15452E-03   -19303.6684436061
        -9434  3.34235E+00  3.25752E+00 -6.30684E-01 -2.06364E-01  7.72725E-01  1.13293E+00  3.23823E-01  1.91607E-01  6.81693E-01  2.30560E+00  1.04741E-01  1.00000E+00  1.05657E-02 -2.09517E-04  5.64733E-03  6.37924E-04  1.41516E-04  8.19017E-03 -1.18261E-03 -8.78483E-04 -1.48330E-03  5.94097E-03   -19371.5407763362
        -9433  3.29156E+00  3.20236E+00 -6.10174E-01 -1.94790E-01  7.95274E-01  1.07239E+00  3.16692E-01  2.08346E-01  6.85183E-01  2.30667E+00  1.04197E-01  1.00000E+00  8.56049E-03 -6.80652E-04  6.26706E-03  4.50675E-04 -5.97508E-04  8.37530E-03 -1.10661E-03 -9.20308E-04 -8.63817E-04  6.05903E-03   -19344.2210852964
        -9432  3.31713E+00  3.21880E+00 -6.14248E-01 -1.99662E-01  7.40404E-01  1.11314E+00  3.35623E-01  1.97849E-01  6.89172E-01  2.30292E+00  1.04011E-01  1.00000E+00  9.94077E-03 -6.03007E-05  6.59506E-03  5.20593E-04 -9.74687E-04  8.12105E-03 -1.98873E-03 -1.77901E-03 -7.66313E-04  6.53574E-03   -19355.8293814761
        -9431  3.33609E+00  3.29484E+00 -6.18905E-01 -2.20386E-01  7.34908E-01  1.12053E+00  3.37619E-01  1.91158E-01  6.97227E-01  2.30559E+00  1.03161E-01  1.00000E+00  1.00855E-02 -6.05480E-04  6.79573E-03 -5.77647E-05 -1.13257E-03  9.75022E-03 -1.93764E-03 -2.00888E-03 -3.97257E-04  5.73480E-03   -19357.5284591448
        -9430  3.27672E+00  3.28522E+00 -6.07221E-01 -2.15470E-01  7.37880E-01  1.12765E+00  3.39089E-01  1.90415E-01  6.92944E-01  2.30184E+00  1.04047E-01  1.00000E+00  9.63940E-03 -1.09439E-03  6.02348E-03  3.37960E-04 -5.04710E-04  9.33834E-03 -1.61700E-03 -1.61116E-03 -4.98434E-04  5.61067E-03   -19352.0264019261
        -9429  3.29121E+00  3.30923E+00 -6.09629E-01 -2.23390E-01  7.32199E-01  1.10178E+00  3.40627E-01  2.02051E-01  6.82337E-01  2.30352E+00  1.06062E-01  1.00000E+00  1.02809E-02 -1.95661E-04  6.32621E-03  6.29624E-04 -5.46746E-04  8.92120E-03 -2.14846E-03 -2.08103E-03 -4.17051E-04  6.33574E-03   -19345.4407850275
        -9428  3.24010E+00  3.23031E+00 -5.89345E-01 -1.99832E-01  7.22119E-01  1.14825E+00  3.41864E-01  1.91134E-01  6.87078E-01  2.29307E+00  1.06117E-01  1.00000E+00  9.72702E-03 -1.08561E-03  6.74697E-03  7.44652E-04 -1.68358E-03  9.19149E-03 -1.82498E-03 -1.84872E-03 -5.03666E-04  6.20661E-03   -19349.2192946069
        -9427  3.26344E+00  3.24186E+00 -6.01903E-01 -2.01895E-01  7.45421E-01  1.12027E+00  3.36885E-01  1.96175E-01  6.90707E-01  2.29424E+00  1.01930E-01  1.00000E+00  9.91749E-03 -9.28976E-04  6.96132E-03  8.33061E-04 -9.52641E-04  9.42673E-03 -1.86906E-03 -2.02861E-03 -1.58309E-04  6.58244E-03   -19338.8500509753
        -9426  3.33099E+00  3.23980E+00 -6.22071E-01 -2.02847E-01  7.52197E-01  1.16470E+00  3.34867E-01  1.79409E-01  6.91226E-01  2.30084E+00  1.01934E-01  1.00000E+00  9.93371E-03 -1.03447E-03  6.56129E-03  1.42678E-03 -1.30025E-03  1.09647E-02 -1.77381E-03 -1.80759E-03  1.34053E-04  6.78609E-03   -19280.2686740413
        -9425  3.28179E+00  3.23890E+00 -6.07055E-01 -2.06374E-01  7.41886E-01  1.11088E+00  3.34710E-01  1.95317E-01  6.77459E-01  2.29262E+00  1.04346E-01  1.00000E+00  1.19609E-02  1.87660E-04  5.98687E-03  1.51773E-03 -1.76306E-03  1.04182E-02 -1.17813E-03 -1.58156E-03  9.24628E-04  6.30431E-03   -19303.7255694166
        -9424  3.27129E+00  3.25407E+00 -6.05544E-01 -2.07745E-01  7.85756E-01  1.12945E+00  3.23165E-01  1.89781E-01  6.85586E-01  2.29567E+00  1.01710E-01  1.00000E+00  1.05536E-02  7.41679E-04  5.99126E-03  4.61620E-04 -2.46192E-03  9.52401E-03 -1.08545E-03 -1.91503E-03  1.35255E-03  6.57228E-03   -19272.6954963067
        -9423  3.33866E+00  3.24740E+00 -6.21788E-01 -2.11059E-01  8.00146E-01  1.13910E+00  3.21249E-01  1.89788E-01  6.75722E-01  2.29308E+00  1.01845E-01  1.00000E+00  1.03878E-02  3.95872E-04  6.39491E-03  4.46086E-04 -3.43759E-03  1.03324E-02 -1.19034E-03 -2.28872E-03  8.04371E-04  7.30218E-03   -19246.6030064751
        -9422  3.31337E+00  3.25901E+00 -6.08988E-01 -2.12787E-01  7.51395E-01  1.12453E+00  3.32155E-01  1.92429E-01  6.88571E-01  2.29867E+00  1.03923E-01  1.00000E+00  9.54383E-03  8.52554E-04  6.92176E-03 -1.94360E-05 -3.29768E-03  9.41730E-03 -4.48819E-04 -3.20061E-03  9.79076E-04  8.48311E-03   -19282.6901945943
        -9421  3.29844E+00  3.24828E+00 -6.10359E-01 -2.07418E-01  6.94042E-01  1.12254E+00  3.48891E-01  1.93794E-01  6.94529E-01  2.29036E+00  1.05048E-01  1.00000E+00  1.06724E-02  2.69178E-04  6.30096E-03  1.06038E-03 -2.89052E-03  8.52600E-03 -1.00488E-03 -2.20084E-03 -9.73807E-05  7.84319E-03   -19278.9533622918
        -9420  3.31729E+00  3.26670E+00 -6.18934E-01 -2.08079E-01  7.67280E-01  1.11760E+00  3.30447E-01  1.97019E-01  6.82288E-01  2.29461E+00  1.03699E-01  1.00000E+00  1.12725E-02 -1.06765E-03  8.35638E-03  1.45711E-03 -3.60465E-03  9.02034E-03 -2.58813E-04 -2.35665E-03  2.82469E-04  6.87219E-03   -19376.6119470910
